STATEPOSTAL,CD116FP,NAME,PARTY,HOUSEINPLAY,SENATEINPLAY,PRESIDENCYINPLAY,TARGETCLASS,STATELEG,
AK,0,Don Young,R,1,,,11,,
AL,1,Bradley Byrne,R,,,,,,
AL,2,Martha Roby,R,,,,,,
AL,3,Mike Rogers,R,,,,,,
AL,4,Robert B. Aderholt,R,,,,,,
AL,5,Mo Brooks,R,,,,,,
AL,6,Gary J. Palmer,R,,,,,,
AL,7,Terri A. Sewell,D,,,,,,
AR,1,"Eric A. ""Rick"" Crawford",R,,,,,,
AR,2,J. French Hill,R,1,,,11,,
AR,3,Steve Womack,R,,,,,,
AR,4,Bruce Westerman,R,,,,,,
AS,0,Aumua Amata Coleman Radewagen,R,,,,,,
AZ,1,Tom O'Halleran,D,1,1,1,2,,
AZ,2,Ann Kirkpatrick,D,1,1,1,2,,
AZ,3,Raúl M. Grijalva,D,,1,1,3,,
AZ,4,Paul A. Gosar,R,,1,1,3,,
AZ,5,Andy Biggs,R,,1,1,3,,
AZ,6,David Schweikert,R,,1,1,3,,
AZ,7,Ruben Gallego,D,,1,1,3,,
AZ,8,Debbie Lesko,R,,1,1,3,,
AZ,9,Greg Stanton,D,,1,1,3,,
CA,1,Doug LaMalfa,R,,,,,,
CA,2,Jared Huffman,D,,,,,,
CA,3,John Garamendi,D,,,,,,
CA,4,Tom McClintock,R,,,,,,
CA,5,Mike Thompson,D,,,,,,
CA,6,Doris O. Matsui,D,,,,,,
CA,7,Ami Bera,D,,,,,,
CA,8,Paul Cook,R,1,,,11,,
CA,9,Jerry McNerney,D,,,,,,
CA,10,Josh Harder,D,1,,,12,,
CA,11,Mark DeSaulnier,D,,,,,,
CA,12,Nancy Pelosi,D,,,,,,
CA,13,Barbara Lee,D,,,,,,
CA,14,Jackie Speier,D,,,,,,
CA,15,Eric Swalwell,D,,,,,,
CA,16,Jim Costa,D,,,,,,
CA,17,Ro Khanna,D,,,,,,
CA,18,Anna G. Eshoo,D,,,,,,
CA,19,Zoe Lofgren,D,,,,,,
CA,20,Jimmy Panetta,D,,,,,,
CA,21,TJ Cox,D,1,,,12,,
CA,22,Devin Nunes,R,1,,,11,,
CA,23,Kevin McCarthy,R,,,,,,
CA,24,Salud O. Carbajal,D,,,,,,
CA,25,Katie Hill,D,1,,,12,,
CA,26,Julia Brownley,D,,,,,,
CA,27,Judy Chu,D,,,,,,
CA,28,Adam B. Schiff,D,,,,,,
CA,29,Tony Cárdenas,D,,,,,,
CA,30,Brad Sherman,D,,,,,,
CA,31,Pete Aguilar,D,,,,,,
CA,32,Grace F. Napolitano,D,,,,,,
CA,33,Ted Lieu,D,,,,,,
CA,34,Jimmy Gomez,D,,,,,,
CA,35,Norma J. Torres,D,,,,,,
CA,36,Raul Ruiz,D,,,,,,
CA,37,Karen Bass,D,,,,,,
CA,38,Linda T. Sánchez,D,,,,,,
CA,39,Gilbert Ray Cisneros Jr.,D,1,,,12,,
CA,40,Lucille Roybal-Allard,D,,,,,,
CA,41,Mark Takano,D,,,,,,
CA,42,Ken Calvert,R,1,,,11,,
CA,43,Maxine Waters,D,,,,,,
CA,44,Nanette Diaz Barragán,D,,,,,,
CA,45,Katie Porter,D,1,,,12,,
CA,46,J. Luis Correa,D,,,,,,
CA,47,Alan S. Lowenthal,D,,,,,,
CA,48,Harley Rouda,D,1,,,12,,
CA,49,Mike Levin,D,,,,,,
CA,50,Duncan Hunter,R,1,,,11,,
CA,51,Juan Vargas,D,,,,,,
CA,52,Scott H. Peters,D,,,,,,
CA,53,Susan A. Davis,D,,,,,,
CO,1,Diana DeGette,D,,1,1,3,,
CO,2,Joe Neguse,D,,1,1,3,,
CO,3,Scott R. Tipton,R,1,1,1,1,,
CO,4,Ken Buck,R,,1,1,3,,
CO,5,Doug Lamborn,R,,1,1,3,,
CO,6,Jason Crow,D,,1,1,3,,
CO,7,Ed Perlmutter,D,,1,1,3,,
CT,1,John B. Larson,D,,,,,,
CT,2,Joe Courtney,D,,,,,,
CT,3,Rosa L. DeLauro,D,,,,,,
CT,4,James A. Himes,D,,,,,,
CT,5,Jahana Hayes,D,,,,,,
DC,0,Eleanor Holmes Norton,D,,,,,,
DE,0,Lisa Blunt Rochester,D,,,,,,
FL,1,Matt Gaetz,R,,,1,6,,
FL,2,Neal P. Dunn,R,,,1,6,,
FL,3,Ted S. Yoho,R,,,1,6,,
FL,4,John H. Rutherford,R,,,1,6,,
FL,5,Al Lawson Jr.,D,,,1,6,,
FL,6,Michael Waltz,R,,,1,6,,
FL,7,Stephanie N. Murphy,D,,,1,6,,
FL,8,Bill Posey,R,,,1,6,,
FL,9,Darren Soto,D,,,1,6,,
FL,10,Val Butler Demings,D,,,1,6,,
FL,11,Daniel Webster,R,,,1,6,,
FL,12,Gus M. Bilirakis,R,,,1,6,,
FL,13,Charlie Crist,D,,,1,6,,
FL,14,Kathy Castor,D,,,1,6,,
FL,15,Ross Spano,R,1,,1,4,,
FL,16,Vern Buchanan,R,,,1,6,,
FL,17,W. Gregory Steube,R,,,1,6,,
FL,18,Brian J. Mast,R,1,,1,4,,
FL,19,Francis Rooney,R,,,1,6,,
FL,20,Alcee L. Hastings,D,,,1,6,,
FL,21,Lois Frankel,D,,,1,6,,
FL,22,Theodore E. Deutch,D,,,1,6,,
FL,23,Debbie Wasserman Schultz,D,,,1,6,,
FL,24,Frederica S. Wilson,D,,,1,6,,
FL,25,Mario Diaz-Balart,R,,,1,6,,
FL,26,Debbie Mucarsel-Powell,D,1,,1,5,,
FL,27,Donna E. Shalala,D,1,,1,5,,
GA,1,"Earl L. ""Buddy"" Carter",R,,1,1,3,,
GA,2,Sanford D. Bishop Jr.,D,,1,1,3,,
GA,3,A. Drew Ferguson IV,R,,1,1,3,,
GA,4,"Henry C. ""Hank"" Johnson Jr.",D,,1,1,3,,
GA,5,John Lewis,D,,1,1,3,,
GA,6,Lucy McBath,D,1,1,1,2,,
GA,7,Rob Woodall,R,1,1,1,1,,
GA,8,Austin Scott,R,,1,1,3,,
GA,9,Doug Collins,R,,1,1,3,,
GA,10,Jody B. Hice,R,,1,1,3,,
GA,11,Barry Loudermilk,R,,1,1,3,,
GA,12,Rick W. Allen,R,,1,1,3,,
GA,13,David Scott,D,,1,1,3,,
GA,14,Tom Graves,R,,1,1,3,,
GU,0,Michael F. Q. San Nicolas,D,,,,,,
HI,1,Ed Case,D,,,,,,
HI,2,Tulsi Gabbard,D,,,,,,
IA,1,Abby Finkenauer,D,,1,1,3,,
IA,2,David Loebsack,D,,1,1,3,,
IA,3,Cynthia Axne,D,,1,1,3,,
IA,4,Steve King,R,1,1,1,1,,
ID,1,Russ Fulcher,R,,,,,,
ID,2,Michael K. Simpson,R,,,,,,
IL,1,Bobby L. Rush,D,,,,,,
IL,2,Robin L. Kelly,D,,,,,,
IL,3,Daniel Lipinski,D,,,,,,
IL,4,"Jesús G. ""Chuy"" García",D,,,,,,
IL,5,Mike Quigley,D,,,,,,
IL,6,Sean Casten,D,1,,,12,,
IL,7,Danny K. Davis,D,,,,,,
IL,8,Raja Krishnamoorthi,D,,,,,,
IL,9,Janice D. Schakowsky,D,,,,,,
IL,10,Bradley Scott Schneider,D,,,,,,
IL,11,Bill Foster,D,,,,,,
IL,12,Mike Bost,R,1,,,11,,
IL,13,Rodney Davis,R,1,,,11,,
IL,14,Lauren Underwood,D,1,,,12,,
IL,15,John Shimkus,R,,,,,,
IL,16,Adam Kinzinger,R,,,,,,
IL,17,Cheri Bustos,D,,,,,,
IL,18,Darin LaHood,R,,,,,,
IN,1,Peter J. Visclosky,D,,,,,,
IN,2,Jackie Walorski,R,,,,,,
IN,3,Jim Banks,R,,,,,,
IN,4,James R. Baird,R,,,,,,
IN,5,Susan W. Brooks,R,,,,,,
IN,6,Greg Pence,R,,,,,,
IN,7,André Carson,D,,,,,,
IN,8,Larry Bucshon,R,,,,,,
IN,9,Trey Hollingsworth,R,,,,,,
KS,1,Roger W. Marshall,R,,,,,,
KS,2,Steven C. Watkins Jr.,R,1,,,11,,
KS,3,Sharice Davids,D,,,,,,
KS,4,Ron Estes,R,,,,,,
KY,1,James Comer,R,,1,,9,,
KY,2,Brett Guthrie,R,,1,,9,,
KY,3,John A. Yarmuth,D,,1,,9,,
KY,4,Thomas Massie,R,,1,,9,,
KY,5,Harold Rogers,R,,1,,9,,
KY,6,Andy Barr,R,1,1,,7,,or 1??
LA,1,Steve Scalise,R,,,,,,
LA,2,Cedric L. Richmond,D,,,,,,
LA,3,Clay Higgins,R,,,,,,
LA,4,Mike Johnson,R,,,,,,
LA,5,Ralph Lee Abraham,R,,,,,,
LA,6,Garret Graves,R,,,,,,
MA,1,Richard E. Neal,D,,,,,,
MA,2,James P. McGovern,D,,,,,,
MA,3,Lori Trahan,D,,,,,,
MA,4,Joseph P. Kennedy III,D,,,,,,
MA,5,Katherine M. Clark,D,,,,,,
MA,6,Seth Moulton,D,,,,,,
MA,7,Ayanna Pressley,D,,,,,,
MA,8,Stephen F. Lynch,D,,,,,,
MA,9,William R. Keating,D,,,,,,
MD,1,Andy Harris,R,,,,,,
MD,2,C. A. Dutch Ruppersberger,D,,,,,,
MD,3,John P. Sarbanes,D,,,,,,
MD,4,Anthony G. Brown,D,,,,,,
MD,5,Steny H. Hoyer,D,,,,,,
MD,6,David J. Trone,D,,,,,,
MD,7,Elijah E. Cummings,D,,,,,,
MD,8,Jamie Raskin,D,,,,,,
ME,1,Chellie Pingree,D,,1,1,3,,
ME,2,Jared F. Golden,D,1,1,1,2,,
MI,1,Jack Bergman,R,,,1,6,,
MI,2,Bill Huizenga,R,,,1,6,,
MI,3,Justin Amash,R,,,1,6,,
MI,4,John R. Moolenaar,R,,,1,6,,
MI,5,Daniel T. Kildee,D,,,1,6,,
MI,6,Fred Upton,R,,,1,6,,
MI,7,Tim Walberg,R,1,,1,4,,
MI,8,Elissa Slotkin,D,1,,1,5,,
MI,9,Andy Levin,D,,,1,6,,
MI,10,Paul Mitchell,R,,,1,6,,
MI,11,Haley M. Stevens,D,,,1,6,,
MI,12,Debbie Dingell,D,,,1,6,,
MI,13,Rashida Tlaib,D,,,1,6,,
MI,14,Brenda L. Lawrence,D,,,1,6,,
MN,1,Jim Hagedorn,R,1,,1,4,,
MN,2,Angie Craig,D,1,,1,5,,
MN,3,Dean Phillips,D,,,1,6,,
MN,4,Betty McCollum,D,,,1,6,,
MN,5,Ilhan Omar,D,,,1,6,,
MN,6,Tom Emmer,R,,,1,6,,
MN,7,Collin C. Peterson,D,1,,1,5,,
MN,8,Pete Stauber,R,1,,1,4,,
MO,1,Wm. Lacy Clay,D,,,,,,
MO,2,Ann Wagner,R,1,,,11,,
MO,3,Blaine Luetkemeyer,R,,,,,,
MO,4,Vicky Hartzler,R,,,,,,
MO,5,Emanuel Cleaver,D,,,,,,
MO,6,Sam Graves,R,,,,,,
MO,7,Billy Long,R,,,,,,
MO,8,Jason Smith,R,,,,,,
MP,0,Gregorio Kilili Camacho Sablan,D,,,,,,
MS,1,Trent Kelly,R,,,,,,
MS,2,Bennie G. Thompson,D,,,,,,
MS,3,Michael Guest,R,,,,,,
MS,4,Steven M. Palazzo,R,,,,,,
MT,0,Greg Gianforte,R,1,,,11,,
NC,1,G. K. Butterfield,D,,1,1,3,,
NC,2,George Holding,R,1,1,1,1,,
NC,3,"Vacant (Special Election Sept 10, 2019)",R,,1,1,3,,
NC,4,David E. Price,D,,1,1,3,,
NC,5,Virginia Foxx,R,,1,1,3,,
NC,6,Mark Walker,R,,1,1,3,,
NC,7,David Rouzer,R,,1,1,3,,
NC,8,Richard Hudson,R,,1,1,3,,
NC,9,"Vacant (Special Election Sept 10, 2019)",R,1,1,1,1,,
NC,10,Patrick T. McHenry,R,,1,1,3,,
NC,11,Mark Meadows,R,,1,1,3,,
NC,12,Alma S. Adams,D,,1,1,3,,
NC,13,Ted Budd,R,1,1,1,1,,
ND,0,Kelly Armstrong,R,,,,,,
NE,1,Jeff Fortenberry,R,,,,,,
NE,2,Don Bacon,R,1,,,11,,
NE,3,Adrian Smith,R,,,,,,
NH,1,Chris Pappas,D,1,,1,5,,
NH,2,Ann M. Kuster,D,,,1,6,,
NJ,1,Donald Norcross,D,,,,,,
NJ,2,Jefferson Van Drew,D,1,,,12,,
NJ,3,Andy Kim,D,1,,,12,,
NJ,4,Christopher H. Smith,R,,,,,,
NJ,5,Josh Gottheimer,D,,,,,,
NJ,6,Frank Pallone Jr.,D,,,,,,
NJ,7,Tom Malinowski,D,1,,,12,,
NJ,8,Albio Sires,D,,,,,,
NJ,9,Bill Pascrell Jr.,D,,,,,,
NJ,10,Donald M. Payne Jr.,D,,,,,,
NJ,11,Mikie Sherrill,D,,,,,,
NJ,12,Bonnie Watson Coleman,D,,,,,,
NM,1,Debra A. Haaland,D,,,,,,
NM,2,Xochitl Torres Small,D,1,,,12,,
NM,3,Ben Ray Luján,D,,,,,,
NV,1,Dina Titus,D,,,1,6,,
NV,2,Mark E. Amodei,R,,,1,6,,
NV,3,Susie Lee,D,,,1,6,,
NV,4,Steven Horsford,D,1,,1,5,,
NY,1,Lee M. Zeldin,R,1,,,11,,
NY,2,Peter T. King,R,1,,,11,,
NY,3,Thomas R. Suozzi,D,,,,,,
NY,4,Kathleen M. Rice,D,,,,,,
NY,5,Gregory W. Meeks,D,,,,,,
NY,6,Grace Meng,D,,,,,,
NY,7,Nydia M. Velázquez,D,,,,,,
NY,8,Hakeem S. Jeffries,D,,,,,,
NY,9,Yvette D. Clarke,D,,,,,,
NY,10,Jerrold Nadler,D,,,,,,
NY,11,Max Rose,D,1,,,12,,
NY,12,Carolyn B. Maloney,D,,,,,,
NY,13,Adriano Espaillat,D,,,,,,
NY,14,Alexandria Ocasio-Cortez,D,,,,,,
NY,15,José E. Serrano,D,,,,,,
NY,16,Eliot L. Engel,D,,,,,,
NY,17,Nita M. Lowey,D,,,,,,
NY,18,Sean Patrick Maloney,D,,,,,,
NY,19,Antonio Delgado,D,1,,,12,,
NY,20,Paul Tonko,D,,,,,,
NY,21,Elise M. Stefanik,R,,,,,,
NY,22,Anthony Brindisi,D,1,,,12,,
NY,23,Tom Reed,R,1,,,11,,
NY,24,John Katko,R,1,,,11,,
NY,25,Joseph D. Morelle,D,,,,,,
NY,26,Brian Higgins,D,,,,,,
NY,27,Chris Collins,R,1,,,11,,
OH,1,Steve Chabot,R,1,,1,4,,
OH,2,Brad R. Wenstrup,R,,,1,6,,
OH,3,Joyce Beatty,D,,,1,6,,
OH,4,Jim Jordan,R,,,1,6,,
OH,5,Robert E. Latta,R,,,1,6,,
OH,6,Bill Johnson,R,,,1,6,,
OH,7,Bob Gibbs,R,,,1,6,,
OH,8,Warren Davidson,R,,,1,6,,
OH,9,Marcy Kaptur,D,,,1,6,,
OH,10,Michael R. Turner,R,,,1,6,,
OH,11,Marcia L. Fudge,D,,,1,6,,
OH,12,Troy Balderson,R,1,,1,4,,
OH,13,Tim Ryan,D,,,1,6,,
OH,14,David P. Joyce,R,,,1,6,,
OH,15,Steve Stivers,R,,,1,6,,
OH,16,Anthony Gonzalez,R,,,1,6,,
OK,1,Kevin Hern,R,,,,,,
OK,2,Markwayne Mullin,R,,,,,,
OK,3,Frank D. Lucas,R,,,,,,
OK,4,Tom Cole,R,,,,,,
OK,5,Kendra S. Horn,D,1,,,12,,
OR,1,Suzanne Bonamici,D,,,,,,
OR,2,Greg Walden,R,,,,,,
OR,3,Earl Blumenauer,D,,,,,,
OR,4,Peter A. DeFazio,D,,,,,,
OR,5,Kurt Schrader,D,,,,,,
PA,1,Brian K. Fitzpatrick,R,1,,1,4,,
PA,2,Brendan F. Boyle,D,,,1,6,,
PA,3,Dwight Evans,D,,,1,6,,
PA,4,Madeleine Dean,D,,,1,6,,
PA,5,Mary Gay Scanlon,D,,,1,6,,
PA,6,Chrissy Houlahan,D,,,1,6,,
PA,7,Susan Wild,D,,,1,6,,
PA,8,Matt Cartwright,D,,,1,6,,
PA,9,Daniel Meuser,R,,,1,6,,
PA,10,Scott Perry,R,1,,1,4,,
PA,11,Lloyd Smucker,R,,,1,6,,
PA,12,Fred Keller,R,,,1,6,,
PA,13,John Joyce,R,,,1,6,,
PA,14,Guy Reschenthaler,R,,,1,6,,
PA,15,Glenn Thompson,R,,,1,6,,
PA,16,Mike Kelly,R,1,,1,4,state senate district 37 is nearby,
PA,17,Conor Lamb,D,,,1,6,,
PA,18,Michael F. Doyle,D,,,1,6,,
PR,0,Jenniffer González-Colón,R,,,,,,
RI,1,David N. Cicilline,D,,,,,,
RI,2,James R. Langevin,D,,,,,,
SC,1,Joe Cunningham,D,1,,,12,,
SC,2,Joe Wilson,R,,,,,,
SC,3,Jeff Duncan,R,,,,,,
SC,4,William R. Timmons IV,R,,,,,,
SC,5,Ralph Norman,R,,,,,,
SC,6,James E. Clyburn,D,,,,,,
SC,7,Tom Rice,R,,,,,,
SD,0,Dusty Johnson,R,,,,,,
TN,1,David P. Roe,R,,,,,,
TN,2,Tim Burchett,R,,,,,,
TN,3,"Charles J. ""Chuck"" Fleischmann",R,,,,,,
TN,4,Scott DesJarlais,R,,,,,,
TN,5,Jim Cooper,D,,,,,,
TN,6,John W. Rose,R,,,,,,
TN,7,Mark E. Green,R,,,,,,
TN,8,David Kustoff,R,,,,,,
TN,9,Steve Cohen,D,,,,,,
TX,1,Louie Gohmert,R,,,,,,
TX,2,Dan Crenshaw,R,1,,,11,,
TX,3,Van Taylor,R,,,,,,
TX,4,John Ratcliffe,R,,,,,,
TX,5,Lance Gooden,R,,,,,,
TX,6,Ron Wright,R,1,,,11,,
TX,7,Lizzie Fletcher,D,1,,,12,,
TX,8,Kevin Brady,R,,,,,,
TX,9,Al Green,D,,,,,,
TX,10,Michael T. McCaul,R,1,,,11,,
TX,11,K. Michael Conaway,R,,,,,,
TX,12,Kay Granger,R,,,,,,
TX,13,Mac Thornberry,R,,,,,,
TX,14,Randy K. Weber Sr.,R,,,,,,
TX,15,Vicente Gonzalez,D,,,,,,
TX,16,Veronica Escobar,D,,,,,,
TX,17,Bill Flores,R,,,,,,
TX,18,Sheila Jackson Lee,D,,,,,,
TX,19,Jodey C. Arrington,R,,,,,,
TX,20,Joaquin Castro,D,,,,,,
TX,21,Chip Roy,R,1,,,11,,
TX,22,Pete Olson,R,1,,,11,,
TX,23,Will Hurd,R,1,,,11,,
TX,24,Kenny Marchant,R,1,,,11,,
TX,25,Roger Williams,R,1,,,11,,
TX,26,Michael C. Burgess,R,,,,,,
TX,27,Michael Cloud,R,,,,,,
TX,28,Henry Cuellar,D,,,,,,
TX,29,Sylvia R. Garcia,D,,,,,,
TX,30,Eddie Bernice Johnson,D,,,,,,
TX,31,John R. Carter,R,1,,,11,,
TX,32,Colin Z. Allred,D,1,,,12,,
TX,33,Marc A. Veasey,D,,,,,,
TX,34,Filemon Vela,D,,,,,,
TX,35,Lloyd Doggett,D,,,,,,
TX,36,Brian Babin,R,,,,,,
UT,1,Rob Bishop,R,,,,,,
UT,2,Chris Stewart,R,,,,,,
UT,3,John R. Curtis,R,,,,,,
UT,4,Ben McAdams,D,1,,,12,,
VA,1,Robert J. Wittman,R,,,1,6,,
VA,2,Elaine G. Luria,D,1,,1,5,,
VA,3,"Robert C. ""Bobby"" Scott",D,,,1,6,,
VA,4,A. Donald McEachin,D,,,1,6,,
VA,5,Denver Riggleman,R,1,,1,4,,
VA,6,Ben Cline,R,,,1,6,,
VA,7,Abigail Davis Spanberger,D,1,,1,5,,
VA,8,Donald S. Beyer Jr.,D,,,1,6,,
VA,9,H. Morgan Griffith,R,,,1,6,,
VA,10,Jennifer Wexton,D,,,1,6,,
VA,11,Gerald E. Connolly,D,,,1,6,,
VI,0,Stacey E. Plaskett,D,,,,,,
VT,0,Peter Welch,D,,,,,,
WA,1,Suzan K. DelBene,D,,,,,,
WA,2,Rick Larsen,D,,,,,,
WA,3,Jaime Herrera Beutler,R,1,,,11,,
WA,4,Dan Newhouse,R,,,,,,
WA,5,Cathy McMorris Rodgers,R,1,,,11,,
WA,6,Derek Kilmer,D,,,,,,
WA,7,Pramila Jayapal,D,,,,,,
WA,8,Kim Schrier,D,1,,,12,,
WA,9,Adam Smith,D,,,,,,
WA,10,Denny Heck,D,,,,,,
WI,1,Bryan Steil,R,,,1,6,,
WI,2,Mark Pocan,D,,,1,6,,
WI,3,Ron Kind,D,,,1,6,,
WI,4,Gwen Moore,D,,,1,6,,
WI,5,F. James Sensenbrenner Jr.,R,,,1,6,,
WI,6,Glenn Grothman,R,,,1,6,,
WI,7,Sean P. Duffy,R,,,1,6,,
WI,8,Mike Gallagher,R,,,1,6,,
WV,1,David B. McKinley,R,,,,,,
WV,2,Alexander X. Mooney,R,,,,,,
WV,3,Carol D. Miller,R,,,,,,
WY,0,Liz Cheney,R,,,,,,